DULICA	ULICA	PSC	DPOSTA	POSTA	POZNAMKA	OBCE
Budovateľov	Budovateľov	984 03	Lučenec 3	Lučenec 3		Lučenec
Cintorínska	Cintorínska	984 01	Lučenec 1	Lučenec 1		Lučenec
Čajkovského	Čajkovského	984 01	Lučenec 1	Lučenec 1		Lučenec
Čurgov	Čurgov	984 01	Lučenec 1	Lučenec 1		Lučenec
D. Maróthyho	D. Maróthyho	984 01	Lučenec 1	Lučenec 1		Lučenec
Daxnerova	Daxnerova	984 01	Lučenec 1	Lučenec 1		Lučenec
Dekréta Matejovie	Dekréta Matejovie	984 03	Lučenec 3	Lučenec 3		Lučenec
Dolná Fabianka	Dolná Fabianka	984 01	Lučenec 1	Lučenec 1		Lučenec
Dolná Slatinka	Dolná Slatinka	984 01	Lučenec 1	Lučenec 1		Lučenec
Dolná Telka	Dolná Telka	984 01	Lučenec 1	Lučenec 1		Lučenec
Dr. Herza	Dr. Herza	984 01	Lučenec 1	Lučenec 1		Lučenec
Dr. Ľudovíta Bazovského	Bazovského	984 01	Lučenec 1	Lučenec 1		Lučenec
Dr. Vodu	Dr. Vodu	984 01	Lučenec 1	Lučenec 1		Lučenec
Dukelských hrdinov	Dukelských hrdinov	984 01	Lučenec 1	Lučenec 1		Lučenec
E. M. Šoltésovej	E. M. Šoltésovej	984 01	Lučenec 1	Lučenec 1		Lučenec
Erenburgova	Erenburgova	984 01	Lučenec 1	Lučenec 1		Lučenec
F. Lehára	F. Lehára	984 01	Lučenec 1	Lučenec 1		Lučenec
F. M. Dostojevského	Dostojevského	984 03	Lučenec 3	Lučenec 3		Lučenec
F. Palackého	F. Palackého	984 01	Lučenec 1	Lučenec 1		Lučenec
Fabianka	Fabianka	984 01	Lučenec 1	Lučenec 1		Lučenec
Fabianka - Sad	Fabianka-Sad	984 01	Lučenec 1	Lučenec 1		Lučenec
Fiľakovská cesta	Fiľakovská cesta	984 01	Lučenec 1	Lučenec 1		Lučenec
Francisciho	Francisciho	984 01	Lučenec 1	Lučenec 1		Lučenec
Františka Gyurkovitsa	Gyurkovitsa	984 01	Lučenec 1	Lučenec 1	č. 16,11,12,4,1	Lučenec
Gagarinova	Gagarinova	984 03	Lučenec 3	Lučenec 3		Lučenec
Garbiarska	Garbiarska	984 01	Lučenec 1	Lučenec 1		Lučenec
Gemerská cesta	Gemerská cesta	984 01	Lučenec 1	Lučenec 1		Lučenec
Haličská cesta	Haličská cesta	984 01	Lučenec 1	Lučenec 1	nepár.čísla 1-5	Lučenec
Haličská cesta	Haličská cesta	984 03	Lučenec 3	Lučenec 3	"čísla 4, 57,7-45, 515, 3199; pár.č. 46-76, "	Lučenec
Hany Ponickej	Ponickej	984 01	Lučenec 1	Lučenec 1		Lučenec
Havaška	Havaška	984 01	Lučenec 1	Lučenec 1		Lučenec
Hladký majer	Hladký majer	984 01	Lučenec 1	Lučenec 1		Lučenec
Hlavná	Hlavná	984 01	Lučenec 1	Lučenec 1		Lučenec
Horná Fabianka	Horná Fabianka	984 01	Lučenec 1	Lučenec 1		Lučenec
Horná Slatinka	Horná Slatinka	984 01	Lučenec 1	Lučenec 1		Lučenec
Horná Telka	Horná Telka	984 01	Lučenec 1	Lučenec 1		Lučenec
Hudobnícka	Hudobnícka	984 01	Lučenec 1	Lučenec 1		Lučenec
Hviezdoslavova	Hviezdoslavova	984 01	Lučenec 1	Lučenec 1		Lučenec
I. Krasku	I. Krasku	984 03	Lučenec 3	Lučenec 3		Lučenec
I. P. Pavlova	I. P. Pavlova	984 01	Lučenec 1	Lučenec 1		Lučenec
J. A. Komenského	J. A. Komenského	984 01	Lučenec 1	Lučenec 1		Lučenec
J. Bottu	J. Bottu	984 01	Lučenec 1	Lučenec 1		Lučenec
J. G. Tajovského	J. G. Tajovského	984 01	Lučenec 1	Lučenec 1		Lučenec
J. Husa	Husa	984 01	Lučenec 1	Lučenec 1		Lučenec
J. Chalupku	Chalupku	984 03	Lučenec 3	Lučenec 3		Lučenec
J. J. Lermontova	Lermontova	984 01	Lučenec 1	Lučenec 1		Lučenec
J. Jesenského	J. Jesenského	984 01	Lučenec 1	Lučenec 1		Lučenec
J. Jiskru	J. Jiskru	984 01	Lučenec 1	Lučenec 1		Lučenec
J. Kármana	J. Kármana	984 01	Lučenec 1	Lučenec 1		Lučenec
J. Kollára	J. Kollára	984 03	Lučenec 3	Lučenec 3		Lučenec
J. M. Hurbana	J. M. Hurbana	984 01	Lučenec 1	Lučenec 1		Lučenec
J. Martinčeka	J. Martinčeka	984 03	Lučenec 3	Lučenec 3		Lučenec
J. Smreka	J. Smreka	984 01	Lučenec 1	Lučenec 1		Lučenec
J. Vargu	J. Vargu	984 01	Lučenec 1	Lučenec 1		Lučenec
J. Wolkra	J. Wolkra	984 01	Lučenec 1	Lučenec 1		Lučenec
Jána Perlicziho	Perlicziho	984 01	Lučenec 1	Lučenec 1		Lučenec
Jána Petiana - Petényiho	Petiana - Petényiho	984 01	Lučenec 1	Lučenec 1		Lučenec
Janka Alexyho	Janka Alexyho	984 03	Lučenec 3	Lučenec 3		Lučenec
Janka Kráľa	J. Kráľa	984 01	Lučenec 1	Lučenec 1		Lučenec
Jánošíkova	Jánošíkova	984 01	Lučenec 1	Lučenec 1		Lučenec
Járková	Járková	984 01	Lučenec 1	Lučenec 1		Lučenec
Jarná	Jarná	984 01	Lučenec 1	Lučenec 1		Lučenec
Jasná	Jasná	984 01	Lučenec 1	Lučenec 1		Lučenec
Jókaiho	Jókaiho	984 01	Lučenec 1	Lučenec 1		Lučenec
Júliusa Szabóa	Júliusa Szabóa	984 01	Lučenec 1	Lučenec 1		Lučenec
Juraja Fándlyho	Fándlyho	984 03	Lučenec 3	Lučenec 3		Lučenec
K. Kuzmányho	K. Kuzmányho	984 01	Lučenec 1	Lučenec 1		Lučenec
Karola Borhyho	Karola Borhyho	984 01	Lučenec 1	Lučenec 1		Lučenec
Karola Supa	Karola Supa	984 03	Lučenec 3	Lučenec 3		Lučenec
Kláštorná	Kláštorná	984 01	Lučenec 1	Lučenec 1		Lučenec
Koháryho dolina	Koháryho dolina	984 01	Lučenec 1	Lučenec 1		Lučenec
Kolomana Banšella	K. Banšella	984 01	Lučenec 1	Lučenec 1		Lučenec
Kolonáda	Kolonáda	984 01	Lučenec 1	Lučenec 1		Lučenec
Kosatcová	Kosatcová	984 01	Lučenec 1	Lučenec 1		Lučenec
kpt. Nálepku	kpt. Nálepku	984 01	Lučenec 1	Lučenec 1		Lučenec
Krátka	Krátka	984 01	Lučenec 1	Lučenec 1		Lučenec
Kukorelliho	Kukorelliho	984 03	Lučenec 3	Lučenec 3		Lučenec
Kupeckého	Kupeckého	984 01	Lučenec 1	Lučenec 1		Lučenec
Kvetná	Kvetná	984 03	Lučenec 3	Lučenec 3		Lučenec
L. Mocsáryho	L. Mocsáryho	984 01	Lučenec 1	Lučenec 1		Lučenec
L. N. Tolstého	L. N. Tolstého	984 03	Lučenec 3	Lučenec 3		Lučenec
Ľ. Podjavorinskej	Ľ. Podjavorinskej	984 01	Lučenec 1	Lučenec 1		Lučenec
Ladislava Novomeského	L. Novomeského	984 03	Lučenec 3	Lučenec 3		Lučenec
Ľadovo	Ľadovo	984 01	Lučenec 1	Lučenec 1		Lučenec
Letná	Letná	984 01	Lučenec 1	Lučenec 1		Lučenec
Líškova Osada	Líškova Osada	984 01	Lučenec 1	Lučenec 1		Lučenec
Lučenské kúpele	Lučenské kúpele	984 01	Lučenec 1	Lučenec 1		Lučenec
Lúčna	Lúčna	984 01	Lučenec 1	Lučenec 1		Lučenec
Ľudovíta Pekára	Ľudovíta Pekára	984 01	Lučenec 1	Lučenec 1		Lučenec
Ľudovíta Štúra	Ľ. Štúra	984 01	Lučenec 1	Lučenec 1		Lučenec
M. Benku	M. Benku	984 01	Lučenec 1	Lučenec 1		Lučenec
M. Kukučína	M. Kukučína	984 01	Lučenec 1	Lučenec 1		Lučenec
M. Nešpora	M. Nešpora	984 03	Lučenec 3	Lučenec 3		Lučenec
M. Šolochova	M. Šolochova	984 01	Lučenec 1	Lučenec 1		Lučenec
Malá	Malá	984 01	Lučenec 1	Lučenec 1		Lučenec
Maloveská	Maloveská	984 01	Lučenec 1	Lučenec 1		Lučenec
Markušova pustatina	Markušova pustatina	984 01	Lučenec 1	Lučenec 1		Lučenec
maršála Malinovského	Malinovského	984 03	Lučenec 3	Lučenec 3		Lučenec
Martina Rázusa	M. Rázusa	984 01	Lučenec 1	Lučenec 1		Lučenec
Mateja Bela	M. Bela	984 03	Lučenec 3	Lučenec 3		Lučenec
Maxima Gorkého	M. Gorkého	984 01	Lučenec 1	Lučenec 1		Lučenec
Mesačná	Mesačná	984 01	Lučenec 1	Lučenec 1		Lučenec
Mestská pustatina	Mestská pustatina	984 01	Lučenec 1	Lučenec 1		Lučenec
Mestský park	Mestský park	984 01	Lučenec 1	Lučenec 1		Lučenec
Mieru	Mieru	984 01	Lučenec 1	Lučenec 1		Lučenec
Mikušovská	Mikušovská	984 01	Lučenec 1	Lučenec 1		Lučenec
Mládežnícka	Mládežnícka	984 01	Lučenec 1	Lučenec 1		Lučenec
Mlynská	Mlynská	984 01	Lučenec 1	Lučenec 1		Lučenec
Modré zeme	Modré zeme	984 01	Lučenec 1	Lučenec 1		Lučenec
Nábrežná	Nábrežná	984 01	Lučenec 1	Lučenec 1		Lučenec
Námestie artézskych prameňov	Nám.artéz.prameňov	984 01	Lučenec 1	Lučenec 1		Lučenec
Námestie Kubínyiho	Nám. Kubínyiho	984 01	Lučenec 1	Lučenec 1		Lučenec
Námestie republiky	Nám. republiky	984 01	Lučenec 1	Lučenec 1		Lučenec
Námestie Tuhárske	Nám. Tuhárske	984 01	Lučenec 1	Lučenec 1		Lučenec
Nógrádyho	Nógrádyho	984 03	Lučenec 3	Lučenec 3		Lučenec
Nová	Nová	984 01	Lučenec 1	Lučenec 1		Lučenec
Novohradská	Novohradská	984 01	Lučenec 1	Lučenec 1		Lučenec
Oblačná	Oblačná	984 01	Lučenec 1	Lučenec 1		Lučenec
Okružná	Okružná	984 03	Lučenec 3	Lučenec 3		Lučenec
Olbrachtova	Olbrachtova	984 01	Lučenec 1	Lučenec 1		Lučenec
Osada	Osada	984 01	Lučenec 1	Lučenec 1		Lučenec
Osloboditeľov	Osloboditeľov	984 01	Lučenec 1	Lučenec 1		Lučenec
P. J. Šafárika	P. J. Šafárika	984 01	Lučenec 1	Lučenec 1		Lučenec
P. Rádayho	P. Rádayho	984 01	Lučenec 1	Lučenec 1		Lučenec
P. Tótha	P. Tótha	984 01	Lučenec 1	Lučenec 1		Lučenec
Parašutistov	Parašutistov	984 01	Lučenec 1	Lučenec 1		Lučenec
Park	Park	984 01	Lučenec 1	Lučenec 1		Lučenec
Parková	Parková	984 01	Lučenec 1	Lučenec 1		Lučenec
Parný mlyn	Parný mlyn	984 01	Lučenec 1	Lučenec 1		Lučenec
Partizánska	Partizánska	984 01	Lučenec 1	Lučenec 1		Lučenec
Pavla Dobšinského	Dobšinského	984 03	Lučenec 3	Lučenec 3		Lučenec
Pekárenská	Pekárenská	984 01	Lučenec 1	Lučenec 1		Lučenec
Pivničný rad	Pivničný rad	984 01	Lučenec 1	Lučenec 1		Lučenec
Pod kaštieľom	Pod kaštieľom	984 01	Lučenec 1	Lučenec 1		Lučenec
Poľná	Poľná	984 01	Lučenec 1	Lučenec 1		Lučenec
Potočná	Potočná	984 01	Lučenec 1	Lučenec 1		Lučenec
Rapovská križovatka	Rapovská križovatka	984 01	Lučenec 1	Lučenec 1		Lučenec
Revolučná	Revolučná	984 01	Lučenec 1	Lučenec 1		Lučenec
Robotnícka	Robotnícka	984 03	Lučenec 3	Lučenec 3		Lučenec
Rúbanisko I	Rúbanisko I	984 03	Lučenec 3	Lučenec 3		Lučenec
Rúbanisko II	Rúbanisko II	984 03	Lučenec 3	Lučenec 3		Lučenec
Rúbanisko III	Rúbanisko III	984 03	Lučenec 3	Lučenec 3		Lučenec
Ružová osada	Ružová osada	984 01	Lučenec 1	Lučenec 1		Lučenec
Sadová	Sadová	984 01	Lučenec 1	Lučenec 1		Lučenec
Samuela Mikovíniho	Mikovíniho	984 01	Lučenec 1	Lučenec 1		Lučenec
Skladištná	Skladištná	984 01	Lučenec 1	Lučenec 1		Lučenec
Sládkovičova	Sládkovičova	984 01	Lučenec 1	Lučenec 1		Lučenec
Slepá	Slepá	984 01	Lučenec 1	Lučenec 1		Lučenec
Slnečná	Slnečná	984 01	Lučenec 1	Lučenec 1		Lučenec
Slovenskej republiky rád	Slovenskej rep.rád	984 01	Lučenec 1	Lučenec 1		Lučenec
Smetanovo námestie	Smetanovo nám.	984 01	Lučenec 1	Lučenec 1		Lučenec
Sokolská	Sokolská	984 01	Lučenec 1	Lučenec 1		Lučenec
Staničný obvod	Staničný obvod	984 01	Lučenec 1	Lučenec 1		Lučenec
Súmračná	Súmračná	984 01	Lučenec 1	Lučenec 1		Lučenec
Svätoplukova	Svätoplukova	984 01	Lučenec 1	Lučenec 1		Lučenec
Špitálska	Špitálska	984 01	Lučenec 1	Lučenec 1		Lučenec
Športová	Športová	984 03	Lučenec 3	Lučenec 3		Lučenec
Št. Moyzesa	Št. Moyzesa	984 01	Lučenec 1	Lučenec 1		Lučenec
Študentská	Študentská	984 03	Lučenec 3	Lučenec 3		Lučenec
Štvrť M. R. Štefánika	Štvrť M. R. Štefánik	984 01	Lučenec 1	Lučenec 1		Lučenec
T. G. Masaryka	Masaryka	984 01	Lučenec 1	Lučenec 1		Lučenec
Tehelná	Tehelná	984 01	Lučenec 1	Lučenec 1		Lučenec
Tenisové ihrisko	Tenisové ihrisko	984 01	Lučenec 1	Lučenec 1		Lučenec
Terézie Vansovej	T. Vansovej	984 01	Lučenec 1	Lučenec 1		Lučenec
Tichá	Tichá	984 01	Lučenec 1	Lučenec 1		Lučenec
Tkáčska	Tkáčska	984 01	Lučenec 1	Lučenec 1		Lučenec
Továrenská	Továrenská	984 01	Lučenec 1	Lučenec 1		Lučenec
Tulipánová	Tulipánová	984 01	Lučenec 1	Lučenec 1		Lučenec
Úzka	Úzka	984 01	Lučenec 1	Lučenec 1		Lučenec
V. V. Majakovského	Majakovského	984 01	Lučenec 1	Lučenec 1		Lučenec
Vajanského	Vajanského	984 01	Lučenec 1	Lučenec 1		Lučenec
Veterná osada	Veterná osada	984 01	Lučenec 1	Lučenec 1		Lučenec
Vinica	Vinica	984 01	Lučenec 1	Lučenec 1		Lučenec
Z. Nejedlého	Z. Nejedlého	984 01	Lučenec 1	Lučenec 1		Lučenec
Záhradná	Záhradná	984 01	Lučenec 1	Lučenec 1		Lučenec
Zámocká	Zámocká	984 01	Lučenec 1	Lučenec 1		Lučenec
Zelená	Zelená	984 01	Lučenec 1	Lučenec 1		Lučenec
Zlatá ulička	Zlatá ulička	984 01	Lučenec 1	Lučenec 1		Lučenec
Zory Jesenskej	Jesenskej	984 01	Lučenec 1	Lučenec 1		Lučenec
Zvolenská cesta	Zvolenská cesta	984 01	Lučenec 1	Lučenec 1		Lučenec
Železničná	Železničná	984 01	Lučenec 1	Lučenec 1		Lučenec
29.augusta	29.augusta	036 01	Martin 1	Martin 1		Martin
A.Kmeťa	A.Kmeťa	036 01	Martin 1	Martin 1		Martin
A.Mamateja	A.Mamateja	036 01	Martin 1	Martin 1		Martin
A.Medňanského	A.Medňanského	038 61	Vrútky	Vrútky		Martin
A.Pietra	A.Pietra	036 01	Martin 1	Martin 1		Martin
A.Sokolíka	A.Sokolíka	036 01	Martin 1	Martin 1		Martin
A.Stodolu	A.Stodolu	036 01	Martin 1	Martin 1		Martin
B.Bullu	B.Bullu	038 61	Vrútky	Vrútky		Martin
B.Němcovej	B.Němcovej	036 01	Martin 1	Martin 1		Martin
Bagarova	Bagarova	036 01	Martin 1	Martin 1		Martin
Bambusky	Bambusky	036 01	Martin 1	Martin 1		Martin
Bazovského	Bazovského	036 01	Martin 1	Martin 1		Martin
Bellova	Bellova	036 01	Martin 1	Martin 1		Martin
Benkova	Benkova	036 01	Martin 1	Martin 1		Martin
Bernolákova	Bernolákova	036 01	Martin 1	Martin 1		Martin
Bezekova	Bezekova	036 01	Martin 1	Martin 1		Martin
Bezručova	Bezručova	036 01	Martin 1	Martin 1		Martin
Björnsonova	Björnsonova	036 01	Martin 1	Martin 1		Martin
Bottova	Bottova	036 01	Martin 1	Martin 1		Martin
Brezová	Brezová	036 01	Martin 1	Martin 1		Martin
Brigádnická	Brigádnická	036 01	Martin 1	Martin 1		Martin
Budovateľov	Budovateľov	036 01	Martin 1	Martin 1		Martin
C.Majerníka	C.Majerníka	036 01	Martin 1	Martin 1		Martin
Cesta k lesu	Cesta k lesu	036 01	Martin 1	Martin 1		Martin
Clementisova	Clementisova	036 01	Martin 1	Martin 1		Martin
Červenej armády	Červ.armády	036 01	Martin 1	Martin 1		Martin
Čsl.armády	Čsl.armády	036 01	Martin 1	Martin 1		Martin
Čulenova	Čulenova	036 01	Martin 1	Martin 1		Martin
D.Makovického	D.Makovického	036 01	Martin 1	Martin 1		Martin
Daniela Michaelliho	Daniela Michaelliho	036 01	Martin 1	Martin 1		Martin
Daxnerova	Daxnerova	036 01	Martin 1	Martin 1		Martin
Devínska	Devínska	038 61	Vrútky	Vrútky		Martin
Divadelná	Divadelná	036 01	Martin 1	Martin 1		Martin
Dobšinského	Dobšinského	036 01	Martin 1	Martin 1		Martin
Dostojevského	Dostojevského	036 01	Martin 1	Martin 1		Martin
Družstevná	Družstevná	036 01	Martin 1	Martin 1		Martin
Dúbravca	Dúbravca	036 01	Martin 1	Martin 1		Martin
E.B.Lukáča	E.B.Lukáča	036 01	Martin 1	Martin 1		Martin
F.Štefunku	F.Štefunku	036 01	Martin 1	Martin 1		Martin
Fatranská	Fatranská	036 01	Martin 1	Martin 1		Martin
Fínska	Fínska	038 61	Vrútky	Vrútky		Martin
Flámska	Flámska	036 01	Martin 1	Martin 1		Martin
Fornigovo	Fornigovo	036 01	Martin 1	Martin 1		Martin
Franc.partizánov	Franc.partizánov	038 61	Vrútky	Vrútky		Martin
Francisciho	Francisciho	036 01	Martin 1	Martin 1		Martin
Gándhího	Gándhího	036 01	Martin 1	Martin 1		Martin
Gen.Svobodu	Gen.Svobodu	036 01	Martin 1	Martin 1		Martin
Gogoľova	Gogoľova	036 01	Martin 1	Martin 1		Martin
Gorkého	Gorkého	036 01	Martin 1	Martin 1		Martin
H.Gregorovej	H.Gregorovej	038 61	Vrútky	Vrútky		Martin
H.Meličkovej	H.Meličkovej	036 01	Martin 1	Martin 1		Martin
Hájska	Hájska	036 01	Martin 1	Martin 1		Martin
Halašova	Halašova	036 01	Martin 1	Martin 1		Martin
Hečkova	Hečkova	036 01	Martin 1	Martin 1		Martin
Helsinská	Helsinská	038 61	Vrútky	Vrútky		Martin
Hlboká	Hlboká	036 01	Martin 1	Martin 1		Martin
Hodžova	Hodžova	036 01	Martin 1	Martin 1		Martin
Hollého	Hollého	036 01	Martin 1	Martin 1		Martin
Holubyho	Holubyho	036 01	Martin 1	Martin 1		Martin
Horská	Horská	036 01	Martin 1	Martin 1		Martin
Hrdinov SNP	Hrdinov SNP	036 01	Martin 1	Martin 1		Martin
Hurbanova	Hurbanova	036 01	Martin 1	Martin 1		Martin
Charkovská	Charkovská	038 61	Vrútky	Vrútky		Martin
Chotárna	Chotárna	038 61	Vrútky	Vrútky		Martin
I.kolónia	I.kolónia	038 61	Vrútky	Vrútky		Martin
II.kolónia	II.kolónia	038 61	Vrútky	Vrútky		Martin
III.kolónia	III.kolónia	038 61	Vrútky	Vrútky		Martin
Izabely Textorisovej	Izabely Textorisovej	036 01	Martin 1	Martin 1		Martin
J.Alexyho	J.Alexyho	036 01	Martin 1	Martin 1		Martin
J.Barča-Ivana	J.Barča-Ivana	036 01	Martin 1	Martin 1		Martin
J.Goliána	J.Goliána	036 01	Martin 1	Martin 1		Martin
J.Kalinčiaka	J.Kalinčiaka	036 01	Martin 1	Martin 1		Martin
J.Kostru	J.Kostru	038 61	Vrútky	Vrútky		Martin
J. Kráľa	J. Kráľa	036 01	Martin 1	Martin 1		Martin
J.Lettricha	J.Lettricha	036 01	Martin 1	Martin 1		Martin
J.Martáka	J.Martáka	038 61	Vrútky	Vrútky		Martin
J.Mazúra	J.Mazúra	036 01	Martin 1	Martin 1		Martin
J.Palkoviča	J.Palkoviča	036 01	Martin 1	Martin 1		Martin
J.Š.Šikuru	J.Š.Šikuru	038 61	Vrútky	Vrútky		Martin
J.V.Dolinského	J.V.Dolinského	038 61	Vrútky	Vrútky		Martin
Jahodnícka	Jahodnícka	036 01	Martin 1	Martin 1		Martin
Jána Bohdana Hroboňa	Jána Bohdana Hroboňa	036 01	Martin 1	Martin 1		Martin
Jána Fraňa	Jána Fraňa	036 01	Martin 1	Martin 1		Martin
Jána Petrikovicha	Jána Petrikovicha	036 01	Martin 1	Martin 1		Martin
Jána Šimka	Jána Šimka	036 01	Martin 1	Martin 1		Martin
Jána Šípku	Jána Šípku	036 01	Martin 1	Martin 1		Martin
Jánošíkova	Jánošíkova	036 01	Martin 1	Martin 1		Martin
Jedľoviny	Jedľoviny	038 61	Vrútky	Vrútky		Martin
Jeleňova	Jeleňova	036 01	Martin 1	Martin 1		Martin
Jesenského	Jesenského	036 01	Martin 1	Martin 1		Martin
Jilemnického	Jilemnického	036 01	Martin 1	Martin 1		Martin
Jozefa Kronera	Jozefa Kronera	036 01	Martin 1	Martin 1		Martin
Kadavého	Kadavého	036 01	Martin 1	Martin 1		Martin
Kalnô	Kalnô	036 01	Martin 1	Martin 1		Martin
Kaštieľna	Kaštieľna	036 01	Martin 1	Martin 1		Martin
Kernova	Kernova	036 01	Martin 1	Martin 1		Martin
Kijevská	Kijevská	038 61	Vrútky	Vrútky		Martin
Kmeťka	Kmeťka	038 61	Vrútky	Vrútky		Martin
Koceľova	Koceľova	036 01	Martin 1	Martin 1		Martin
Kohútova	Kohútova	036 01	Martin 1	Martin 1		Martin
Kollárova	Kollárova	036 01	Martin 1	Martin 1		Martin
Kolónia Hviezda	Kolónia Hviezda	038 61	Vrútky	Vrútky		Martin
Komenského	Komenského	036 01	Martin 1	Martin 1		Martin
Konevova	Konevova	036 01	Martin 1	Martin 1		Martin
Korunovo	Korunovo	036 01	Martin 1	Martin 1		Martin
Košarišťanova	Košarišťanova	036 01	Martin 1	Martin 1		Martin
Košútska	Košútska	036 01	Martin 1	Martin 1		Martin
Kozmonautov	Kozmonautov	036 01	Martin 1	Martin 1		Martin
Kráčiny	Kráčiny	036 01	Martin 1	Martin 1		Martin
Kratinova	Kratinova	038 61	Vrútky	Vrútky		Martin
Krivánska	Krivánska	036 01	Martin 1	Martin 1		Martin
Kukučínova	Kukučínova	036 01	Martin 1	Martin 1		Martin
Kuzmányho	Kuzmányho	036 01	Martin 1	Martin 1		Martin
L.Frimmela	L.Frimmela	036 01	Martin 1	Martin 1		Martin
L.Novomeského	L.Novomeského	036 01	Martin 1	Martin 1		Martin
Ľ.Ondrejova	Ľ.Ondrejova	036 01	Martin 1	Martin 1		Martin
Langsfeldova	Langsfeldova	036 01	Martin 1	Martin 1		Martin
Ľaukovská	Ľaukovská	036 01	Martin 1	Martin 1		Martin
Lazík	Lazík	036 01	Martin 1	Martin 1		Martin
Leningradská	Leningradská	038 61	Vrútky	Vrútky		Martin
Lermontova	Lermontova	036 01	Martin 1	Martin 1		Martin
Lipová	Lipová	038 61	Vrútky	Vrútky		Martin
M. R. Štefánika	M. R. Štefánika	036 01	Martin 1	Martin 1		Martin
M.Dulu	M.Dulu	038 61	Vrútky	Vrútky		Martin
M.Galandu	M.Galandu	036 01	Martin 1	Martin 1		Martin
M.Jankolu	M.Jankolu	036 01	Martin 1	Martin 1		Martin
M.Poláka	M.Poláka	036 01	Martin 1	Martin 1		Martin
M.Uhera	M.Uhera	036 01	Martin 1	Martin 1		Martin
Majakovského	Majakovského	036 01	Martin 1	Martin 1		Martin
Majerčíkova	Majerčíkova	038 61	Vrútky	Vrútky		Martin
Majerná	Majerná	036 01	Martin 1	Martin 1		Martin
Malá Hora	Malá Hora	036 01	Martin 1	Martin 1		Martin
Malinovského	Malinovského	036 01	Martin 1	Martin 1		Martin
Maše Haľamovej	Maše Haľamovej	036 01	Martin 1	Martin 1		Martin
Matuškova	Matuškova	036 01	Martin 1	Martin 1		Martin
Medekova	Medekova	036 01	Martin 1	Martin 1		Martin
Memorandové námestie	Memorandové námestie	036 01	Martin 1	Martin 1		Martin
Mestská Bôrová	Mestská Bôrová	036 01	Martin 1	Martin 1		Martin
Milošovo	Milošovo	036 01	Martin 1	Martin 1		Martin
Minská	Minská	038 61	Vrútky	Vrútky		Martin
Mládeže	Mládeže	036 01	Martin 1	Martin 1		Martin
Mojmírova	Mojmírova	036 01	Martin 1	Martin 1		Martin
Moskovská	Moskovská	036 01	Martin 1	Martin 1		Martin
Moyzesova	Moyzesova	036 01	Martin 1	Martin 1		Martin
Mudrochova	Mudrochova	038 61	Vrútky	Vrútky		Martin
Murgašova	Murgašova	036 01	Martin 1	Martin 1		Martin
Na Bystričku	Na Bystričku	036 01	Martin 1	Martin 1		Martin
Na Kameni	Na Kameni	036 01	Martin 1	Martin 1		Martin
Nade Hejnej	Nade Hejnej	036 01	Martin 1	Martin 1		Martin
Nadsadie	Nadsadie	036 01	Martin 1	Martin 1		Martin
Nákladné nádražie	Nákladné nádražie	038 61	Vrútky	Vrútky		Martin
Nálepkova	Nálepkova	036 01	Martin 1	Martin 1		Martin
Nám. J. C. Hronského	Nám. J. C. Hronského	036 01	Martin 1	Martin 1		Martin
Nám.protif.boj.	Nám.protif.boj.	036 01	Martin 1	Martin 1		Martin
Nám.S.H.Vajanského	Nám.S.H.Vajanského	036 01	Martin 1	Martin 1		Martin
Námestie SNP	Námestie SNP	036 01	Martin 1	Martin 1		Martin
Nekrasova	Nekrasova	036 01	Martin 1	Martin 1		Martin
Nerudova	Nerudova	038 61	Vrútky	Vrútky		Martin
Nešporova	Nešporova	036 01	Martin 1	Martin 1		Martin
Nezvalova	Nezvalova	036 01	Martin 1	Martin 1		Martin
Novákova	Novákova	036 01	Martin 1	Martin 1		Martin
Novojičínska	Novojičínska	036 01	Martin 1	Martin 1		Martin
O.Borodáčovej	O.Borodáčovej	036 01	Martin 1	Martin 1		Martin
O.Plachého	O.Plachého	038 61	Vrútky	Vrútky		Martin
Obchodné Centrum Turiec	Obchodné Centrum Turiec	036 01	Martin 1	Martin 1		Martin
Odeská	Odeská	036 01	Martin 1	Martin 1		Martin
Odtoky	Odtoky	036 01	Martin 1	Martin 1		Martin
Olšanova	Olšanova	036 01	Martin 1	Martin 1		Martin
P.O.Hviezdoslava	P.O.Hviezdoslava	036 01	Martin 1	Martin 1		Martin
P.Mudroňa	P.Mudroňa	036 01	Martin 1	Martin 1		Martin
P.V.Rovnianka	P.V.Rovnianka	036 01	Martin 1	Martin 1		Martin
Palackého	Palackého	038 61	Vrútky	Vrútky		Martin
Palárikova	Palárikova	036 01	Martin 1	Martin 1		Martin
Pivovarská	Pivovarská	036 01	Martin 1	Martin 1		Martin
Pltníky	Pltníky	036 01	Martin 1	Martin 1		Martin
Pod strelnicou	Pod strelnicou	036 01	Martin 1	Martin 1		Martin
Podhájska	Podhájska	036 01	Martin 1	Martin 1		Martin
Podhorská	Podhorská	036 01	Martin 1	Martin 1		Martin
Poľná	Poľná	036 01	Martin 1	Martin 1		Martin
Poľovnícka	Poľovnícka	036 01	Martin 1	Martin 1		Martin
Poničanova	Poničanova	036 01	Martin 1	Martin 1		Martin
Potočná	Potočná	036 01	Martin 1	Martin 1		Martin
Pri Turci	Pri Turci	036 01	Martin 1	Martin 1		Martin
Pribinova	Pribinova	036 01	Martin 1	Martin 1		Martin
