kraj	okres	obec	ulica	cislo	psc	posta	predvolba	telefon	fax	web	email	starosta	primator	prednosta	ico	pocetobyvatelov	rozloha	ppz	mobil	urad
Košický	Trebišov	Leles		62	076 84	Leles	056	636 25 65	636 25 65	www.leles.sk	leles62@hotmail.com	Michal Zurbola			00331686	1805	3368	1190	0903 830 440,0910 986 392	Obecný úrad
Banskobystrický	Veľký Krtíš	Lesenice	Lesenice	221	991 08	Lesenice	047	489 41 00	489 41 00	www.lesenice.sk	lesenice@mail.t-com.sk	Ing. Ladislav Majdán			00647420	528	739	1244	0905 408 832	Obecný úrad
Žilinský	Martin	Ležiachov	Ležiachov	70	038 42	Príbovce	043	429 41 92		www.obecleziachov.sk	leziachov@gaya.sk	Katarína Michalková			00647357	163	423	1252	0949 806 711	Obecný úrad
Košický	Spišská Nová Ves	Lieskovany		50	053 21	Markušovce	053	446 73 02, 429 78 10, 11		"www.lieskovany.sk;www.lieskovany.ocu.sk"	"lieskovany@stonline.sk;starosta@lieskovany.sk;info@lieskovany.sk"	Peter Tököly			00695386	294	176	1277	0905 428 165	Obecný úrad
Bratislavský	Pezinok	Limbach	SNP	55	900 91	Limbach	033	647 72 21	647 72 21	www.obec-limbach.sk	"limbach@post.sk;starosta@obec-limbach.sk;anna.hrusticova@post.sk"	Bc. Adriana Čechovičová			00304891	1730	1537	1390		Obecný úrad
Banskobystrický	Lučenec	Lipovany	Lipovany	46	985 31	Rapovce	047	439 98 72	439 98 72	www.lipovany.sk	lipovany@dkn.sk 	Milan Matuška			00648272	259	1034	1238	0905 270 434	Obecný úrad
Prešovský	Prešov	Lipovce	Lipovce	92	082 36	Lipovce	051	758 17 87	758 17 87		"lipovce@ou.sk;peter.mizenko@ou.sk"	Bc. Peter Miženko			00327387	524	2237	1320	0915 946 437	Obecný úrad
Žilinský	Liptovský Mikuláš	Liptovská Anna	Liptovská Anna	20	032 23	Liptovská Sielnica	044	559  72 42		"www.liptovskaanna.eu;www.liptovskaanna.sk"	"liptovskaanna@citycom.sk;obecliptovskaanna@post.sk"	Ivan Bella			00315371	92	1128	1396		Obecný úrad
Žilinský	Liptovský Mikuláš	Liptovské Kľačany	Liptovské Kľačany	72	032 14	Ľubeľa	044	559 32 58	522 27 17	www.liptovskeklacany.sk	liptovske.klacany@zoznam.sk	Ján Hollý			00315451	370	1341	1474	0918 627 114,0948 095 094	Obecný úrad
Žilinský	Liptovský Mikuláš	Liptovský Peter	Liptovský Peter	100	033 01	Liptovský Hrádok	044	522 24 84,522 21 72	522 24 84	www.liptovskypeter.sk	liptovsky.peter@mag-net.sk 	Bc. Anna Papajová			00620581	1375	612	1286	0907 086 283	Obecný úrad
Banskobystrický	Krupina	Lišov	Lišov	42	962 71	Dudince	045	551 91 90,91	551 91 91	www.lisov.sk	"lisov@lisov.sk;starosta@lisov.sk"	Emília Takáčová			00320099	247	1939	1235	0904 924 341	Obecný úrad
Žilinský	Liptovský Mikuláš	Liptovské Matiašovce	Liptovské Matiašovce	79	032 23	Liptovská Sielnica	044	559 72 47	559 72 47	"www.liptovskematiasovce.sk;www.lmatiasovce.szm.sk"	lmatiasovce@citycom.sk	Ján Jaňák			00315460	294	573	1416		Obecný úrad
Žilinský	Liptovský Mikuláš	Liptovský Mikuláš	Štúrova	1989/41	031 42	Liptovský Mikuláš	044	556 51 11,112,201,203,208	562 13 96	www.mikulas.sk	"lmikulas@mikulas.sk;sekretariat@mikulas.sk;primator@mikulas.sk "		Ing. Ján Blcháč, PhD.  	Ing. Martina Kapitáňová	00315524	31873	7011	1286	0903 553 460	Mestský úrad
Banskobystrický	Brezno	Lom nad Rimavicou	Lom nad Rimavicou	13	976 53	Lom nad Rimavicou	048	618 00 02	618 00 02	www.lomnadrimavicou.ocu.sk	lom.nad.rimavicou.obec@zoznam.sk	Jozef Katreniak 			00313556	289	1740	1799	0911 204 629,0911 205 484	Obecný úrad
Prešovský	Bardejov	Lopuchov		85	086 41	Raslavice	054	479 21 01		www.lopuchov.ocu.sk	lopuchov@stonline.sk	Ing. František Palko			00322318	323	814	1345		Obecný úrad
Trnavský	Trnava	Lošonec	Hlavná	62	919 04	Smolenice	033	558 64 60	558 64 60	"www.losonec.com;www.losonec.sk"	losonec@gmail.com	Mgr. Juraj Rábara			00682292	527	2371	1332	0907 735 177	Obecný úrad
Banskobystrický	Žiar nad Hronom	Lovča	Geromettova	95	966 21	Lovča	045	673 28 35	673 28 35	www.lovca.sk	"lovca@lovca.sk;starosta@lovca.sk"	Ondrej Bahno			00320820	678	1044	1283	0908 931 328	Obecný úrad
Nitriansky	Zlaté Moravce	Lovce	Lovce	222	951 92	Lovce	037	634 82 25,23	634 82 29	www.lovce.eu	lovce.obecnyurad@gmail.com	František Richter			00308161	678	1018	1323	0918 547 193	Obecný úrad
Prešovský	Humenné	Slovenské Krivé		52	067 13	Rokytov pri Humennom	057	779 71 64			lpm.mezdej@netrox.sk	Ladislav Meždej			00323543	132	639	1478	0908 361 749	Obecný úrad
Prešovský	Bardejov	Stebnícka Huta		70	086 33	Zborov	054	479 83 10	479 83 10	www.stebnickahuta.sk	"ludmilasosnakova@centrum.sk;obec@stebnickahuta.sk  "	Gabriel Šiba			00322598	250	943	1600	0910 985 674	Obecný úrad
Žilinský	Ružomberok	Ludrová	Ludrová	239	034 71	Ludrová	044	430 36 82,435 21 89	435 21 89	www.ludrova.sk	"ludrova@ludrova.sk;starosta@ludrova.sk"	Peter Slimák			00315591	1008	534	1461	0903 896 174	Obecný úrad
Prešovský	Humenné	Lukačovce		101	067 24 	Lukačovce pri Humennom 	057	488 54 41	488 54 40		lukacovce@zoznam.sk	Ing. Martin Meričko 			00323217	513	747	1543		Obecný úrad
Banskobystrický	Zvolen	Lukavica	Lipová	1	962 31	Sliač	045	544 22 52		www.obeclukavica.ocu.sk	lukavica@zoznam.sk	Bc. Róbert Kíšik			00648418	155	516	1389	0911 490 627	Obecný úrad
Banskobystrický	Rimavská Sobota	Lukovištia	Lukovištia	26	980 26	Lukovištia	047	569 01 01	569 01 01	www.lukovistia.sk	lukovistia@lukovistia.sk	Alena Segedyová			00318906	191	1429	1407	0948 335 212	Obecný úrad
Košický	Košice	Košice - Luník IX - Mestská časť	Krčméryho 	2	040 11	Košice	055	643 52 52,788 27 11,642 51 38		www.kosice.sk	lunik9@centrum.sk	Marcel Šaňa			00691119	6228	106			Miestny úrad
Banskobystrický	Žiar nad Hronom	Lutila	Štefánikova	48/84	966 22	Lutila	045	6789 080,87	6789 089	www.lutila.sk	"lutila@lutila.sk;starosta@lutila.sk"	Ján Pružina			00652113	1334	2598	1487	0903 514 423	Obecný úrad
Nitriansky	Levice	Tekovské Lužany	SNP	43	935 41	Tekovské Lužany	036	772 35 01	772 31 29	"www.tekovskeluzany.sk;www.tekovskeluzany.ocu.sk"	"luzany@nextra.sk;tekluzany@gmail.com"	Ing. Marián Kotora			00307548	2913	4394	1156	0903 515 863	Obecný úrad
Banskobystrický	Veľký Krtíš	Malá Čalomija	Malá Čalomija	46	991 08	Lesenice	047	489 41 02	489 41 02	www.malacalomija.ocu.sk	m.hlacok@mail.t-com.sk	Miroslav Hlačok			00647403	211	641	1342	0911 942 511	Obecný úrad
Nitriansky	Zlaté Moravce	Machulince	Hlavná	115	951 93	Topoľčianky	037	630 17 22	630 17 22	"www.obecmachulince.sk;www.machulince.sk"	"machulince@mail.t-com.sk;starosta@obecmachulince.sk"	Bohumil Bielik			00308234	1040	947	1275		Obecný úrad
Trnavský	Hlohovec	Madunice	P. O. Hviezdoslava	8/368	922 42	Madunice	033	743 11 23	743 12 05	www.madunice.sk	"madunice@madunice.sk;starostka@madunice.sk"	Mgr. Alena Jelušová			00312738	2160	1199	1113	0903 416 847	Obecný úrad
Nitriansky	Nové Zámky	Kamenný Most	Hlavná	29	943 58	Kamenný Most	036	753 18 20	759 82 01	"www.kamenny-most.sk;www.parkany.sk/kamennymost"	"magat@parkany.sk;kamennymost@parkany.sk;jarekova@kamenny-most.sk"	Katarína Heiszlerová			00047244	1054	2034	1271	0905 442 355	Obecný úrad
Žilinský	Čadca	Makov	Makov	60	023 56	Makov	041	436 42 20,19	436 42 20	www.makov.sk	"makov@makov.sk;starosta@makov.sk"	Martin Pavlík			00314129	1796	4605	1720	0915 535 262,0905502509	Obecný úrad
Žilinský	Žilina	Malá Čierna	Malá Čierna	55	015 01	Rajec	041	542 20 93	542 20 93	www.malacierna.ocu.sk	malaciernaobec@azet.sk	Jaroslav Koleda			00632716	359	426	1471	0918 643 438,0907 854 020	Obecný úrad
Košický	Košice okolie	Malá Lodina		98	044 81	Kysak	055	699 11 97	729 31 36		malalodina@post.sk	Ing. Adriána Fečková			00324434	188	3834	1386		Obecný úrad
Prešovský	Kežmarok	Podhorany		114	059 93	Bušovce	052	458 36 01	458 36 01	www.maldur.sk	maldur@stonline.sk	Jozef Oračko			00326461	1914	1102	1235	0911 998 797	Obecný úrad
Trenčiansky	Považská Bystrica	Malé Lednice	Malé Lednice	101	018 16	Domaniža	042	439 45 45	439 45 45	www.malelednice.com	male.lednice@mail.t-com.sk	Ján Hamar			00692395	508	1510	1339	0911 990 052	Obecný úrad
Nitriansky	Nové Zámky	Malé Kosihy	Malé Kosihy	3	943 61	Salka	036	758 41 33,34,35	758 41 33		"malekosihy@poiplie.sk;obecmkosihy@stonline.sk;obecmkosihy@mail.t-com.sk"	Jozef Margala			00309087	386	842	1248	0905 603 471	Obecný úrad
Trenčiansky	Partizánske	Malé Kršteňany	Malé Kršteňany	105	958 03	Malé Kršteňany	038	748 52 10	748 50 91	www.malekrstenany.ocu.sk	malekrstenany@gmail.com	Jaroslav Kopál			00310735	539	629	1271	0918 473 222	Obecný úrad
Nitriansky	Levice	Malé Ludince	Malé Ludince	82	937 01 	Želiezovce 	036	779 11 31	779 11 31	www.maleludince.sk	maleludince@gmail.com	Zoltán Bacsa			00587567	181	680	1255	0915 873 203	Obecný úrad
Banskobystrický	Poltár	Málinec	Málinec	474	985 26 	Málinec 	047	429 11 21 	429 11 21 	www.malinec.sk	"malinec@stonline.sk;malinec.starosta@stonline.sk"	Ing. Igor Čepko			00316211	1519	4999	1514	0905 410 540	Obecný úrad
Košický	Trebišov	Malý Horeš	Družstevná	233	076 52	Veľký Horeš	056	628 53 70	628 53 71	www.malyhores.ocu.sk	malyhores@dornet.sk 	Csaba Furik			00331724	1116	1921	1214	0907 349 797	Obecný úrad
Banskobystrický	Veľký Krtíš	Malý Krtíš	Družstevná	2	990 01	Veľký Krtíš	047	483 04 32	483 04 32	www.obec-maly-krtis.meu.zoznam.sk	malykrtis@stonline.sk	Ing. Václav Hájevský			17061733	523	540	1251	0903 523 607	Obecný úrad
Prešovský	Prešov	Malý Šariš		104	080 01	Prešov	051	771 16 01	771 16 01	www.malysaris.sk	"malysaris@stonline.sk;obecmalysaris@mail.t-com.sk"	Ing. Miroslav Palenčár			00327441	1467	863	1248	0905 856 128	Obecný úrad
Nitriansky	Zlaté Moravce	Mankovce	Mankovce	101	951 91	Hosťovce	037	634 72 21	634 72 68	http://mankovce.e-obce.sk	"mankovce@centrum.sk;mankovce@gmail.com"	Jaroslav Belúch			00308242	538	423	1345	0905 395 006	Obecný úrad
Banskobystrický	Poltár	Zlatno	Zlatno	62	985 04	Zlatno	047	429 23 10	429 23 10  	http://zlatno.e-obce.sk	margaretamurinova@gmail.com	Margaréta Murínová  			31923402	468	36	1819	0908 922 106	Obecný úrad
Košický	Gelnica	Margecany	Obchodná	7	055 01	Margecany	053	479 92 39	489 42 39	www.margecany.sk	margecany@stonline.sk	Ing. Igor Petrik			00329347	2013	1763	1235	0915 907 619,0905 446 656	Obecný úrad
Prešovský	Levoča	Pongrácovce	Pongrácovce	30	053 05	Beharovce	053	459 62 50		www.pongracovce.sk	"maria.matlochova@gmail.com;starostka@pongracovce.sk;starostka.pongracovce@gmail.com"	Mgr. Mária Matlochová			00329495	95	299	1297	0905 394 219	Obecný úrad
Prešovský	Humenné	Maškovce		2	067 32 	Vyšný Hrušov	057	779 66 06			maskovce@centrum.sk	Emil Jasík			00690121	47	699	1574	0907 926 184	Obecný úrad
Košický	Spišská Nová Ves	Matejovce nad Hornádom		97	053 21	Markušovce	053	449 81 87	449 81 87	www.matejovcenadhornadom.sk	matejovcenh@levonetmail.sk	Marta Stanislavová			00329363	505	362	1320	0903 762 730	Obecný úrad
Prešovský	Kežmarok	Matiašovce		74/43	059 05	Matiašovce	052	482 20 16,418 12 01,02	482 20 16	www.matiasovce.sk	"matiasovce@compnet.sk;starosta@compnet.sk"	Mgr. Marián Štefaňák			00326399	788	1750	1326	0911 89 00 47,0911 89 00 46	Obecný úrad
Prešovský	Svidník	Matovce		38	090 42	Okrúhle	054	759 11 82			matovce@post.sk	Ján Referovič			00330710	131	399	1423	0908 251 652	Obecný úrad
Nitriansky	Nové Zámky	Maňa	M. R. Štefánika	1	941 45	Maňa	035	659 51 03,04	659 52 79	www.obecmana.sk	"matrika@obecmana.sk;starosta@obecmana.sk "	Ing. Igor Sádovský			00309061	2103	2159	1237	0905 522 839	Obecný úrad
Prešovský	Stará Ľubovňa	Matysová	Matysová	27	065 46	Malý Lipník	052	439 41 58		www.matysova.sk	matysova@matysova.sk	Iveta Kundrátová			00330051	62	1043	1408	0911 332 924,902 582 419	Obecný úrad
Košický	Košice	Košice - Košická Nová Ves - Mestská časť	Mliečna	1	040 14	Košice	055	671 39 74	671 39 74	www.kosickanovaves.sk	mcknv@netkosice.sk	Milan Lesňák			00690996	2647	945	1297	0918 630 122	Miestny úrad
Košický	Košice 2	Košice - Poľov - Mestská časť	Dolina	2	040 15	Košice	055	684 51 06	684 51 06	www.polov.sk	"mcpolov@netkosice.sk;starosta@polov.sk;referent1@polov.sk"	Ladislav Brada			00691062	1105	1218	1248		Miestny úrad
Košický	Košice 4	Košice - Šebastovce - Mestská časť	Podbeľová	1	040 17	Košice-Barca	055	678 80 07	678 80 07	www.sebastovce.sk	mcsebastovce@netkosice.sk	Monika Puzderová			00691011	645	444	1248	0907 995 912	Miestny úrad
Prešovský	Vranov nad Topľou	Malá Domaša		106	094 02 	Slovenská Kajňa	057	449 41 57,488 54 70	449 41 57	www.maladomasa.sk	"mdomasa@gmail.com;jaro.makatura@gmail.com "	Mgr. Jaroslav Makatúra  			00332534	446	566	1317	0915 974 534	Obecný úrad
Prešovský	Prešov	Medzany	Medzany	152	082 21	Veľký Šariš	051	458 23 15		www.obecmedzany.sk	"medzany@obecmedzany.sk;starosta@obecmedzany.sk"	Jozef Kipikaša			17149002	754	707	1248	0917 877 986	Obecný úrad
Prešovský	Medzilaborce	Medzilaborce	Mierová	326/4	068 01	Medzilaborce	057	732 12 06,746 01 11	732 10 68,746 01 31	"www.medzilaborce.net;www.medzilaborce-urad.sk"	"medzilaborce@stonline.sk;primator@medzilaborce-urad.sk;info@medzilaborce-urad.sk"		Vladislav Višňovský	Ing. Slavomír Rusinko	00323233	6437	4554	1557		Mestský úrad
Prešovský	Poprad	Mengusovce		123	059 36	Mengusovce	052	775 48 31	775 48 31	www.mengusovce.sk	mengusovce@stonline.sk	Ján Šoltis			00326402	627	894	1398		Obecný úrad
Trnavský	Hlohovec	Merašice	Merašice	183	920 61	Dolné Trhovište	033	744 83 51	744 83 51	www.merasice.sk	"merasice@wircom.sk;oumerasice@wircom.sk "	Mgr. Stanislav Michal			00312771	423	494	1390	0907 785 994	Obecný úrad
Prešovský	Svidník	Mestisko		6	090 41	Mestisko	054	752 15 98	752 15 98	www.mestisko.ocu.sk	mestisko@vl.sk	Stanislav Baka			00330736	471	1106	1414		Obecný úrad
Nitriansky	Komárno	Hurbanovo	Komárňanská 	91	947 01    	Hurbanovo 	035	760 22 02,03,25 24	760 41 91	www.hurbanovo.sk	"mesto.hurbanovo@hurbanovo.sk;primatorka@hurbanovo.sk"		Ildikó Basternáková	Ing. Adriana Kasášová	00306452	7740	599	1357	0903 218 654	Mestský úrad
Trenčiansky	Myjava	Brezová pod Bradlom	Námestie gen. M. R. Štefánika	1	906 13	Brezová pod Bradlom	034	"694 22 11, 20;624 21 51"	694 22 38	www.brezova.sk	"mesto@brezova.sk;primatorka@brezova.sk"		Mgr. Eva Ušiaková	Mgr. Viera Nemcová	00309443	5092	4107	1262	0905 384 982,0905 722 856	Mestský úrad
Košický	Trebišov	Čierna nad Tisou	Nám. pionierov	151/1	076 43	Ćierna nad Tisou	056	687 22 01	635 07 54	www.ciernanadtisou.sk	"mesto@ciernanadtisou.sk;primator@ciernanadtisou.sk"		Ing. Marta Vozáriková	Ing. Peter Brázda, PhD.	00331465	3965	937	1828		Mestský úrad
Banskobystrický	Lučenec	Fiľakovo	Radničná	25	986 01	Fiľakovo	047	438 10 01	438 10 01	www.filakovo.sk	"mesto@filakovo.sk;primator@filakovo.sk"		Attila Agócs, PhD.	Mgr. Ľudmila Svoreňová	00316075	10799	1618	1246		Mestský úrad
Košický	Trebišov	Kráľovský Chlmec	Ľ. Kossutha	99	077 01	Kráľovský Chlmec	056	632 12 38	632 21 40	www.kralovskychlmec.sk	"mesto@kralovskychlmec.sk;primator@kralovskychlmec.sk"		Ing. Karol Pataky	Ing. Ladislav Švistun	00331619	7864	238	1214		Mestský úrad
Trnavský	Hlohovec	Leopoldov	Hlohovecká cesta	104/2	920 41	Leopoldov	033	734 22 07, 734 23 88, 73	734 23 88	www.leopoldov.sk	"mesto@leopoldov.sk;primator@leopoldov.sk;sekretariat@leopoldov.sk"		Mgr. Terézia Gavuliaková	Ing. Adriana Urbanová	00312703	4164	565	1664		Mestský úrad
Prešovský	Levoča	Levoča	Námestie Majstra Pavla	4	054 01	Levoča	053	451 24 67	451 22 46	www.levoca.sk	"mesto@levoca.sk;primator@levoca.sk;prednosta@levoca.sk;podatelna@levoca.sk"		PaeDr. Milan Majerský		00329321	14913	6404	1249		Mestský úrad
Košický	Košice okolie	Medzev	Štóska	6	044 25	Medzev	055	466 31 05	466 32 95	"www.medzev.sk;www.medzev.eu"	"mesto@medzev.sk;primator@medzev.sk;prednosta@medzev.sk"		JUDr. Valéria Flachbartová	Ing. Jozef Schmiedl	00324442	3972	3187	1359		Mestský úrad
Banskobystrický	Poltár	Poltár	Železničná	489/1	987 01	Poltár	047	430 84 22,23,24	422 22 70	www.poltar.sk	"mesto@poltar.sk;primator@poltar.sk;prednosta@poltar.sk"		Pavel Gavalec	Ing. Pavel Olšiak	00316342	5794	3053	1330	0902 056 170,0905 459 912	Mestský úrad
Banskobystrický	Rimavská Sobota	Rimavská Sobota	Svätopluková	9	979 01	Rimavská Sobota	047	563 11 39,563 11 40,563 10 70 	562 35 07	www.rimavskasobota.sk	"mesto@rimavskasobota.sk;primator@rimavskasobota.sk "		JUDr. Jozef Šimko	JUDr. Štefan Szántó	00319031	24549	7755	1270	0905 278 453	Mestský úrad
Trnavský	Skalica	Skalica	Námestie slobody	10	909 01	Skalica	034	690 31 05,690 32 09,10	690 42 11	www.skalica.sk	"mesto@skalica.sk;mesto@mesto.skalica.sk"		Ing. Ľudovít Barát	Ing. Anton Bobrík	00309982	14466	6000	1217		Mestský úrad
Prešovský	Kežmarok	Spišská Stará Ves	Štúrová	228/109	061 01	Spišská Stará Ves	052	418 04 10-35	418 04 16	www.spisskastaraves.sk	"mesto@spisskastaraves.sk;primator@spisskastaraves.sk;sekretar@spisskastaraves.sk"		Ing. Jozef Harabin		00326526	2277	1753	1272	0903 819 303	Mestský úrad
Prešovský	Stará Ľubovňa	Stará Ľubovňa	Obchodná	1	064 01	Stará Ľubovňa	052	43 15 111,225,250,236	432 30 33	www.staralubovna.sk	"mesto@staralubovna.sk;primator@staralubovna.sk;prednostamsu@staralubovna.sk"		PhDr. Ľuboš Tomko	Ing. Aleš Solár	00330167	16384	3079	1292	0901 911 185	Mestský úrad
Prešovský	Stropkov	Stropkov	Hlavná 	38/2	091 01	Stropkov	054	486 88 00,01,02,03,04	486 88 05	www.stropkov.sk	"mesto@stropkov.sk;primator@stropkov.sk"		JUDr. Ondrej Brendza	Ing. Stanislav Humeník	00331007	10828	2467	1245		Mestský úrad
Banskobystrický	Veľký Krtíš	Veľký Krtíš	J. A. Komenského	3	990 01	Veľký Krtíš	047	481 21 10	481 21 12	www.velky-krtis.sk	mesto@velky-krtis.sk		Ing. Dalibor Surkoš	Ing. Roman Wagner	00319651	12853	1503	1245		Mestský úrad
Prešovský	Vranov nad Topľou	Vranov nad Topľou	Dr. C. Daxnera 	87	093 16 	Vranov nad Topľou 	057	442 25 51-3	442 29 29	www.vranov.sk	"mesto@vranov.sk;primator@vranov.sk;prednosta@vranov.sk"		Ing. Ján Ragan	Mgr. Andrej Krišanda	00332933	23069	3434	1270		Mestský úrad
Nitriansky	Levice	Želiezovce	SNP	2	937 01	Želiezovce	036	771 11 22	771 30 04	www.zeliezovce.sk	"mesto@zeliezovce.sk;primator@zeliezovce.sk;prednostka@zeliezovce.sk"		Ing. Ondrej Juhász	PhDr. Alžbeta Kádašiová 	00307696	7166	5652	1274	0905 306 057	Mestský úrad
Banskobystrický	Zvolen	Zvolen	Námestie Slobody	22	960 01	Zvolen	045	533 14 28,530 31 11,533 00 06,5303 232	533 14 28	www.zvolen.sk	"mesto@zvolen.sk;primator@zvolen.sk;kancelariaprimatora@zvolen.sk;kpk@zvolen.sk;prednosta@zvolen.sk"		Ing. Lenka Balkovičová	Ing. Jozef Mikuš	00320439	43311	9873	1135		Mestský úrad
Košický	Michalovce	Veľké Kapušany	sídl. L. N. Tolstého	1	079 01	Veľké Kapušany	056	638 25 62	638 23 34	www.vkapusany.sk	"mestsky.urad@vkapusany.sk;primator@vkapusany.sk;prednosta@vkapusany.sk;podatelna@vkapusany.sk "		Mgr. Peter Petrikán	PhDr. Juraj Gyimesi 	00332038	9594	2961	1211	917 955 475, 0915 444 203	Mestský úrad
Banskobystrický	Detva	Hriňová	Partizánska	1612	962 05	Hriňová	045	549 71 12,549 71 48,321 01 00	549 71 11,321 01 00	www.hrinova.sk	"mestskyurad@hrinova.sk;sekretariat@hrinova.sk;primator@hrinova.sk"		Mgr. Stanislav Horník	Mgr. Marián Ďurica	00319961	7793	12649	1863	0908 190 801,0905 555 963	Mestský úrad
Prešovský	Poprad	Poprad	Nábrežie Jána Pavla II.	2082/3	058 01	Poprad	052	772 13 77, 7167 203	772 12 18	www.poprad.sk	"mestskyurad@poprad.sk;primator@poprad.sk;prednosta@msupoprad.sk"		Ing. Jozef Švagerko	Ing. Róbert Bujalka	00326470	54271	6301	1250		Mestský úrad
Trnavský	Dunajská Streda	Mierovo	Mierovo	59	930 41	Kvetoslavov	031	569 35 03	569 35 03	www.mierovo.sk	"mierovo@zmail.sk;starosta@mierovo.sk"	Katarína Janikovicsová			00305596	454	615	1260		Obecný úrad
Košický	Košice 2	Košice - západ - Mestská časť	Trieda SNP	39	040 11	Košice 2	055	"788 32 00;788 32 02"	788 32 09	www.kosicezapad.sk	miestnyurad@kosicezapad.sk	Ing. Ján Jakubov		Ing. Andrea Horváthová	00690970	39410	569	1230	0903 651 465	Miestny úrad
Bratislavský	Bratislava 5	Bratislava - Čunovo - Mestská časť	Hrnčiarska	144	851 10	Bratislava 5	02	6285 06 21,29	6285 06 29	www.cunovo.eu	"miestnyurad@mc-cunovo.sk;cunovo@mc-cunovo.sk "	Gabriela Ferenčáková			00641243	1014	1862	1232	0903 808 153	Miestny úrad
Prešovský	Svidník	Pstriná			090 05 	Krajná Poľana	054	759 33 53  			mihalikovahanka@centrum.sk	Mgr. Anna Mihaliková			00330906	59	623	1497	0918 971 008	Obecný úrad
Banskobystrický	Lučenec	Mikušovce	Mikušovce	14	984 01	Lučenec 	047	432 91 32 		www.mikusovce.com	mikusovce@centrum.sk 	Ing. Imrich Ágošton 			17067944	281	498	1370	0905 270 432	Obecný úrad
Prešovský	Svidník	Havranec			090 02	Kružlová	054	759 42 73  			milan.scerba@gmail.com	Milan Ščerba			00330477	13	764	1618		Obecný úrad
Banskobystrický	Lučenec	Ratka	Ratka	109	986 01	Fiľakovo	047	438 34 31		www.ratka.sk	"milan.spodniak@azet.sk;starosta.ratka@gmail.com"	Ing. Milan Spodniak			00316385	333	1260	1955	0905 607 983	Obecný úrad
Prešovský	Sabinov	Milpoš		140	082 71	Lipany	051	459 62 18	459 62 18	www.milpos.sk	"milpos@milpos.sk;obec@milpos.sk"	Ladislav Rabatin			00327476	677	1108	1950	0905 417 392	Obecný úrad
Prešovský	Stará Ľubovňa	Ruská Voľa nad Popradom		2	065 42	Čirč	052	492 18 51 		ruskavolanadpopradom.webnode.sk	miroslavtomco@gmail.com	Miroslav Tomčo			00330159	99	602	1357	0911 884 914	Obecný úrad
Prešovský	Kežmarok	Mlynčeky		99	059 76	Mlynčeky	052	452 26 17,468 24 43	452 26 17	www.mlynceky.sk	mlynceky@mlynceky.sk 	Milena Svocáková			00326411	632	768	1896		Obecný úrad
Prešovský	Poprad	Mlynica		75	059 91	Velký Slavkov	052	779 65 61,779 65 20	779 65 61	www.mlynica.sk	mlynica@popnet.sk	Július Vachmanský			00326429	430	778	1268		Obecný úrad
Trenčiansky	Trenčín	Mníchova Lehota	Mníchova Lehota	90	913 21	Trenčianska Turná	032	648 61 24,150	648 61 78	www.mnichovalehota.sk	mnichovalehota@stonline.sk	Mgr. Jozef Kováč			00311774	1231	1662	1439	0905 399 742	Obecný úrad
Nitriansky	Komárno	Moča	Moča	168	946 37	Moča	035	777 79 90,91,92	777 79 91	www.obecmoca.sk	moca@slovanet.sk	Ing. Pál Banai Tóth, PhD.			00306576	1146	1787	1208	0907 745 720	Obecný úrad
Prešovský	Humenné	Modra nad Cirochou		111	067 82	Dlhé nad Cirochou	057	779 32 42	779 32 42	www.modranadcirochou.sk	"modranc@stonline.sk;info@modranadcirochou.sk"	Ing. Jozef Hančar			00323250	1029	730	1451	0915 975 660,0905 708 725	Obecný úrad
Trenčiansky	Nové Mesto nad Váhom	Modrová	Modrová	187	916 35	Modrová	033	778 51 24	778 51 24	www.modrova.eu.sk	modrova@modrova.eu.sk	Stanislav Uhrin			00311782	521	1167,5	1348	0908 789 593	Obecný úrad
Banskobystrický	Banská Bystrica	Môlča	Prostredná Môlča	61	974 01	Môlča	048	414 78 08	414 78 08	www.molca.sk	molca@molca.sk	Ing. Ján Kluka 			00313611	357	939	1293	0918 393 492	Obecný úrad
Trnavský	Piešťany	Moravany nad Váhom	Kostolecká	175/4	922 21	Moravany nad Váhom	033	772 56 54	773 16 01	www.moravany.sk	moravany@moravany.sk	Ing. Peter Hulman			00312789	2184	1079	1348	0903 653 616	Obecný úrad
Košický	Michalovce	Moravany	Moravany	98	072 03	Rakovec nad Ondavou	056	688 46 45	688 46 46	www.obecmoravany.sk	moravany@obecmoravany.sk	Ján Žofčák			00325503	1043	1667	1252		Obecný úrad
Žilinský	Turčianske Teplice	Mošovce	Kolárovo námestie	314/10	038 21	Mošovce	043	494 41 00	494 41 00	www.mosovce.sk	"mosovce@mosovce.sk;starosta@mosovce.sk;podatelna@mosovce.sk"	Peter Košík			00316806	1319	5809	1252	0918 529 575,0911 953 551	Obecný úrad
Trnavský	Galanta	Mostová	Mostová	120	925 07	Mostová	031	784 82 98, 784 82 01	784 82 01	www.mostova-kurt.sk	mostova@mostova-kurt.sk	JUDr. Tibor Rózsár			00306096	1605	2515	1245		Obecný úrad
Prešovský	Prešov	Mošurov		15	082 67	Terňa	051	459 52 88		"www.mosurov.ocu.sk;www.mosurov.ou.sk"	mosurov@gmail.com	JUDr. Stanislav Krajňák			00690562	187	544	1383	0905 347 752	Obecný úrad
